,MONTH,PORTFOLIO
0,1.1979,199.99999999999997
1,2.1979,397.1135131212485
2,3.1979,613.5679711927141
3,4.1979,819.498838827377
4,5.1979,1014.294924597046
5,6.1979,1231.3672952104525
6,7.1979,1396.5500586689877
7,8.1979,1656.5813556966673
8,9.1979,1875.4390695550746
9,10.1979,1944.6629954070404
10,11.1979,2196.0259218386277
11,12.1979,2404.2547406254694
12,1.198,2722.954534555977
13,2.198,2949.5268946615097
14,3.198,2973.741264410912
15,4.198,3404.330534478227
16,5.198,3617.453738159291
17,6.198,3934.30237839592
18,7.198,4204.3418563780915
19,8.198,4570.08768014271
20,9.198,4895.156750186795
21,10.198,5362.270186457547
22,11.198,5978.939099042758
23,12.198,6232.746663461763
24,1.1981,6271.4219317608
25,2.1981,6914.696590536664
26,3.1981,7363.589115465003
27,4.1981,7761.580358900347
28,5.1981,8272.739579969431
29,6.1981,8772.81755679621
30,7.1981,9087.06574651633
31,8.1981,9349.88462430221
32,9.1981,8463.817818881997
33,10.1981,8665.221645787864
34,11.1981,9404.634676623584
35,12.1981,9532.488630282163
36,1.1982,9736.014075150793
37,2.1982,9654.002553617705
38,3.1982,9762.998857119892
39,4.1982,10594.290029794895
40,5.1982,10180.756471664414
41,6.1982,10484.243627714899
42,7.1982,10770.63534512803
43,8.1982,11813.963469345008
44,9.1982,12178.02903639668
45,10.1982,13359.104455294104
46,11.1982,14493.31469436974
47,12.1982,14719.769727986702
48,1.1983,15125.504736820456
49,2.1983,15920.750906789972
50,3.1983,16757.956541567917
51,4.1983,18400.678534316117
52,5.1983,18533.745966030165
53,6.1983,19891.847410870432
54,7.1983,20001.89942826529
55,8.1983,20955.079440762875
56,9.1983,21589.055238967783
57,10.1983,21187.331923757494
58,11.1983,22506.50024983518
59,12.1983,23565.043497704697
60,1.1984,24487.585683047364
61,2.1984,23551.52865028093
62,3.1984,23978.654570033897
63,4.1984,24510.518762231597
64,5.1984,23720.79832105056
65,6.1984,24118.87482757196
66,7.1984,24347.709328452736
67,8.1984,27270.94651188584
68,9.1984,28642.13228738439
69,10.1984,29667.50173764175
70,11.1984,28987.54744037083
71,12.1984,30947.347283109935
72,1.1985,33632.59051489903
73,2.1985,35142.72750394385
74,3.1985,36633.48756804897
75,4.1985,34217.73997682804
76,5.1985,36410.95150699612
77,6.1985,36610.91609547975
78,7.1985,35746.69836655284
79,8.1985,35005.24554608275
80,9.1985,36028.883119549515
81,10.1985,35834.03308745575
82,11.1985,37293.4063175555
83,12.1985,38309.781013645515
84,1.1986,38272.39165162868
85,2.1986,40264.719672932355
86,3.1986,43160.839334287084
87,4.1986,44768.4173330818
88,5.1986,44063.02637286772
89,6.1986,46200.06655779772
90,7.1986,45408.348202860005
91,8.1986,48076.36465563842
92,9.1986,46013.88976458236
93,10.1986,44925.285059183996
94,11.1986,47486.996388014515
95,12.1986,47939.5034866302
96,1.1987,50539.01223953249
97,2.1987,51476.3030172767
98,3.1987,54753.247376928535
99,4.1987,57391.68142449491
100,5.1987,56975.604156156616
101,6.1987,58154.48895005719
102,7.1987,60359.362538031935
103,8.1987,64598.382571561204
104,9.1987,62028.62803174742
105,10.1987,51374.54739869731
106,11.1987,47317.104583957895
107,12.1987,48056.88333605173
108,1.1988,49928.54737271219
109,2.1988,54516.163412677786
110,3.1988,55588.2019201958
111,4.1988,56143.07276925465
112,5.1988,55758.09758702665
113,6.1988,57928.09926675815
