,MONTH,MSCI World,STRAT1-0.0,STRAT1-0.01,STRAT1-0.02,STRAT1-0.03,STRAT1-0.04,STRAT1-0.05,STRAT1-0.06,STRAT1-0.07,STRAT1-0.08,STRAT1-0.09
0,1.1979,10398.930905250509,199.99999999999997,199.99999999999997,199.99999999999997,199.99999999999997,199.99999999999997,199.99999999999997,199.99999999999997,199.99999999999997,199.99999999999997,199.99999999999997
1,2.1979,10248.849017195264,397.1135131212485,397.1135131212485,397.1135131212485,397.1135131212485,397.1135131212485,397.1135131212485,397.1135131212485,397.1135131212485,397.1135131212485,397.1135131212485
2,3.1979,10675.226277917642,613.6344094322778,613.6344094322778,613.6344094322778,613.6344094322778,613.6344094322778,613.6344094322778,613.6344094322778,613.6344094322778,613.6344094322778,613.6344094322778
3,4.1979,10778.50358279821,819.5710056540589,819.5710056540589,819.5710056540589,819.5710056540589,819.5710056540589,819.5710056540589,819.5710056540589,819.5710056540589,819.5710056540589,819.5710056540589
4,5.1979,10708.880944697636,1014.2770708247899,1014.2770708247899,1014.2770708247899,1014.2770708247899,1014.2770708247899,1014.2770708247899,1014.2770708247899,1014.2770708247899,1014.2770708247899,1014.2770708247899
5,6.1979,10889.84575852203,1231.4169066522713,1231.4169066522713,1231.4169066522713,1231.4169066522713,1231.4169066522713,1231.4169066522713,1231.4169066522713,1231.4169066522713,1231.4169066522713,1231.4169066522713
6,7.1979,10578.590506604152,1396.220358602356,1396.220358602356,1396.220358602356,1396.220358602356,1396.220358602356,1396.220358602356,1396.220358602356,1396.220358602356,1396.220358602356,1396.220358602356
7,8.1979,11036.524853554603,1656.661043749998,1656.661043749998,1656.661043749998,1656.661043749998,1656.661043749998,1656.661043749998,1656.661043749998,1656.661043749998,1656.661043749998,1656.661043749998
8,9.1979,11162.378098026924,1875.552512768861,1875.552512768861,1875.552512768861,1875.552512768861,1875.552512768861,1875.552512768861,1875.552512768861,1875.552512768861,1875.552512768861,1875.552512768861
9,10.1979,10376.16510293369,1943.44950160323,1943.44950160323,1943.44950160323,1943.44950160323,1943.44950160323,1943.44950160323,1943.44950160323,1943.44950160323,1943.44950160323,1943.44950160323
10,11.1979,10651.72398360166,2195.0615147105673,2195.0615147105673,2195.0615147105673,2195.0615147105673,2195.0615147105673,2195.0615147105673,2195.0615147105673,2195.0615147105673,2195.0615147105673,2195.0615147105673
11,12.1979,10690.898083358965,2403.1343448818216,2403.1343448818216,2403.1343448818216,2403.1343448818216,2403.1343448818216,2403.1343448818216,2403.1343448818216,2403.1343448818216,2403.1343448818216,2403.1343448818216
12,1.198,11222.644152383618,2722.661930989682,2722.661930989682,2722.661930989682,2722.661930989682,2722.661930989682,2722.661930989682,2722.661930989682,2722.661930989682,2722.661930989682,2722.661930989682
13,2.198,11331.976524858845,2949.186436651733,2949.186436651733,2949.186436651733,2949.186436651733,2949.186436651733,2949.186436651733,2949.186436651733,2949.186436651733,2949.186436651733,2949.186436651733
14,3.198,10648.959921826556,2971.428982137781,2971.428982137781,2971.428982137781,2971.428982137781,2971.428982137781,2971.428982137781,2971.428982137781,2971.428982137781,2971.428982137781,2971.428982137781
15,4.198,11481.555130843206,3403.7519087543355,3403.7519087543355,3403.7519087543355,3403.7519087543355,3403.7519087543355,3403.7519087543355,3403.7519087543355,3403.7519087543355,3403.7519087543355,3403.7519087543355
16,5.198,11524.620863031954,3616.5189134387074,3616.5189134387074,3616.5189134387074,3616.5189134387074,3616.5189134387074,3616.5189134387074,3616.5189134387074,3616.5189134387074,3616.5189134387074,3616.5189134387074
17,6.198,11899.479614256965,3934.1526108752932,3934.1526108752932,3934.1526108752932,3934.1526108752932,3934.1526108752932,3934.1526108752932,3934.1526108752932,3934.1526108752932,3934.1526108752932,3934.1526108752932
18,7.198,12112.443054965368,4204.561629037746,4204.561629037746,4204.561629037746,4204.561629037746,4204.561629037746,4204.561629037746,4204.561629037746,4204.561629037746,4204.561629037746,4204.561629037746
19,8.198,12593.610215946585,4571.587964933319,4571.587964933319,4571.587964933319,4571.587964933319,4571.587964933319,4571.587964933319,4571.587964933319,4571.587964933319,4571.587964933319,4571.587964933319
20,9.198,12940.50819136116,4897.5148899589085,4897.5148899589085,4897.5148899589085,4897.5148899589085,4897.5148899589085,4897.5148899589085,4897.5148899589085,4897.5148899589085,4897.5148899589085,4897.5148899589085
21,10.198,13651.988424485868,5366.784456819186,5366.784456819186,5366.784456819186,5366.784456819186,5366.784456819186,5366.784456819186,5366.784456819186,5366.784456819186,5366.784456819186,5366.784456819186
22,11.198,14720.80969969001,5986.952803621698,5986.952803621698,5986.952803621698,5986.952803621698,5986.952803621698,5986.952803621698,5986.952803621698,5986.952803621698,5986.952803621698,5986.952803621698
23,12.198,14852.777656733124,6240.624167257635,6240.624167257635,6240.624167257635,6240.624167257635,6240.624167257635,6240.624167257635,6240.624167257635,6240.624167257635,6240.624167257635,6240.624167257635
24,1.1981,14463.167712691038,6276.923525614305,6276.923525614305,6276.923525614305,6276.923525614305,6276.923525614305,6276.923525614305,6276.923525614305,6276.923525614305,6276.923525614305,6276.923525614305
25,2.1981,15492.392711318944,6923.60068067274,6923.60068067274,6923.60068067274,6923.60068067274,6923.60068067274,6923.60068067274,6923.60068067274,6923.60068067274,6923.60068067274,6923.60068067274
26,3.1981,16052.980807362164,7374.129323708374,7374.129323708374,7374.129323708374,7374.129323708374,7374.129323708374,7374.129323708374,7374.129323708374,7374.129323708374,7374.129323708374,7374.129323708374
27,4.1981,16486.545396880545,7773.292419438408,7773.292419438408,7773.292419438408,7773.292419438408,7773.292419438408,7773.292419438408,7773.292419438408,7773.292419438408,7773.292419438408,7773.292419438408
28,5.1981,17151.11818447906,8286.633904124583,8286.633904124583,8286.633904124583,8286.633904124583,8286.633904124583,8286.633904124583,8286.633904124583,8286.633904124583,8286.633904124583,8286.633904124583
29,6.1981,17776.102685456586,8788.597758588576,8788.597758588576,8788.597758588576,8788.597758588576,8788.597758588576,8788.597758588576,8788.597758588576,8788.597758588576,8788.597758588576,8788.597758588576
30,7.1981,18007.194521247326,9102.850765898229,9102.850765898229,9102.850765898229,9102.850765898229,9102.850765898229,9102.850765898229,9102.850765898229,9102.850765898229,9102.850765898229,9102.850765898229
31,8.1981,18130.394515906635,9365.12982688243,9365.12982688243,9365.12982688243,9365.12982688243,9365.12982688243,9365.12982688243,9365.12982688243,9365.12982688243,9365.12982688243,9365.12982688243
32,9.1981,16005.212422046532,8467.381722322201,8467.381722322201,8467.381722322201,8467.381722322201,8467.381722322201,8467.381722322201,8467.381722322201,8467.381722322201,8467.381722322201,8467.381722322201
33,10.1981,16005.92215478959,8667.757198629408,8667.757198629408,8667.757198629408,8667.757198629408,8667.757198629408,8667.757198629408,8667.757198629408,8667.757198629408,8667.757198629408,8667.757198629408
34,11.1981,17009.80602398687,9411.39483160508,9411.39483160508,9411.39483160508,9411.39483160508,9411.39483160508,9411.39483160508,9411.39483160508,9411.39483160508,9411.39483160508,9411.39483160508
35,12.1981,16876.439053870592,9537.603912914463,9537.603912914463,9537.603912914463,9537.603912914463,9537.603912914463,9537.603912914463,9537.603912914463,9537.603912914463,9537.603912914463,9537.603912914463
36,1.1982,16881.135392354838,9740.258016434804,9740.258016434804,9740.258016434804,9740.258016434804,9740.258016434804,9740.258016434804,9740.258016434804,9740.258016434804,9740.258016434804,9740.258016434804
